Word		No. of occurrences
alumovi		3
alumovych		9
alumuv		3
aluna		3
aluovci		3
aluv		3
aly		6
am-li		9
ama		51
amachovi		6
amadane		3
amahal		6
amaj		3
amaje		6
amajova		3
amajovi		3
amajuv		3
amalecke		3
amaleckeho		6
amaliel		3
amalielove		3
amalovala		3
aman		63
amana		21
amanem		21
amanova		3
amanovi		21
amanovych		9
amanovym		3
amanuv		3
amar		42
amaran		9
amarane		6
amaranky		3
amaranu		3
amarany		3
amare		12
amari		261
amarim		6
amaris		3
amarska		3
amarske		9
amarskem		6
amarsko		6
amarskou		3
amarsku		9
amaru		18
amary		3
amasek		24
amaskem		3
amasku		129
amat-lechi		3
amat-mispe		3
amat-negeb		3
amatajim-sofimu		3
amatka		3
amatsky		3
amatuj		66
amatujete		3
amatujte		30
ambres		3
ame		114
ame-li		12
amech		21
amecha		9
amechovy		3
amechovych		3
amedatova		9
amedatovu		3
amedatuv		3
amejsi		3
amen		141
amena		6
amene		3
amenil		3
ameny		9
amer		3
ameril		6
amerite		3
amery		6
amesesu		12
amesti		3
ametni		9
ametyst		9
amfylie		9
amfylii		6
amgar		3
amgar-nebu		3
amgara		3
amhuta		3
ami		30
amiloval		6
amilovali		3
amin		15
amina		3
amir		6
amirim-li		3
amiru		6
amisto		3
amitl		6
amitnou		6
amjas		3
amkoli		3
amla		12
amlajovi		3
amlek		3
amliel		12
amliela		3
amluvte		3
amo		3
amona		3
amonska		3
amonske		3
amonsky		9
amonskych		3
amonu		3
amorske		6
amot		24
amot-baal		3
amothrake		3
amotu		63
amou		3
amovy		3
amramska		3
amre		27
amreho		3
amseraj		3
amson		57
amsona		21
amsone		12
amsonem		3
amsonovi		12
amsonovu		6
amsonovych		3
amti		6
amu		24
amua		12
amuel		267
amuela		54
amuele		6
amuelem		12
amueli		9
amuelova		165
amuelovi		60
amuelovo		3
amuelovu		3
amuelovy		3
amuelovych		3
amula		3
amulety		3
amuy		3
amuza		3
amy		33
amym		3
amysleji		3
amyslel		3
amysleli		3
amzumci		3
an-jaanu		3
ana		591
anaanu		3
anachat		6
anachatanu		3
anachatu		3
anahem		3
anai		3
anami		3
ananejskeho		3
ananejsky		3
anase		9
anasea		3
anases		39
anasesa		45
anasesem		6
anasesova		135
anasesovci		12
anasesovcu		24
anasesovcum		9
anasesove		12
anasesovec		3
anasesovi		33
anasesovo		3
anasesovou		3
anasesovu		18
anasesovy		9
anasesovych		3
anasesovymi		3
anasesuv		6
anatotske		3
anatotskych		9
anba		6
anbalat		21
anbalata		6
anbalatovi		3
ancherib		24
ancheriba		6
ancheribova		3
ancheribovi		6
anchumetuv		3
ancler		3
andel		204
andela		84
andele		90
andelech		3
andelem		9
andelich		3
andelovi		6
andelskymi		3
andelu		69
andelum		30
andely		72
ane		633
aneach		3
anebo		87
anech		6
anechate		3
anechte		6
anedlouho		6
anem		87
anevrels		6
ani		2955
aniel		159
aniela		42
aniele		3
anielem		6
anieli		18
anielove		3
anielovi		39
anielovym		3
anieluv		3
aniho		12
anijel		3
anikl		3
anikne		6
aniknes		3
anil		3
anila		3
anili		3
anim		3
aniova		3
aniovych		6
anitili		3
aniz		93
anjas		3
annes		3
ano		177
anoach		45
anoacha		6
anoachem		3
anoachovi		9
anoachu		12
anosove		3
anou		3
anova		39
anoval		3
anovat		3
anovce		6
anovci		27
anovcu		27
anove		3
anovi		63
anovnik		642
anovnika		354
anovnikem		3
anovnikova		12
anovnikove		3
anovnikovi		15
anovnikovy		3
anovniku		285
anovnikuv		6
anovo		72
anovskem		3
anovsky		3
anovu		6
anovy		3
anovym		6
anovymi		3
ansana		3
antikrist		9
antikristu		3
antikristuv		3
antilop		3
antilopu		3
anu		306
anuelova		3
anuj		3
anuv		42
any		6
anzelstvi		3
aodikeje		3
aodikeji		6
aodikejske		6
aodikejskym		3
aokovu		3
aon		9
aonci		3
aonu		12
aopak		15
aostreni		3
aostrete		3
apadaji		3
apadne-li		3
apadni		6
apajeji		3
apalil		12
apalili		3
apalime		3
apalna		6
apalnou		3
apasi		3
apej		12
apidotova		3
apijte		3
apil		9
apina		3
apinaji		3
apis		24
apises		9
apiste		3
apjal		6
aplat		3
aplatil		3
aplavi		3
aplesej		3
aplesejte		3
apletou		3
apln		9
aplni		3
aplnil		9
aplnim		6
aplnte		6
aplnuje		6
apni		3
apnul		3
apoje		3
apojil		3
apojte		3
apomels		3
apomenes		3
apomenu		3
apomenuti		6
apominas		3
apomneli		9
aposled		3
aposledy		9
apostol		39
apostola		6
apostolech		3
apostolem		9
apostolove		48
apostolske		87
apostolskeho		3
apostolstvi		9
apostolu		27
apostolum		33
apostoly		63
appadokie		3
appadokii		3
aprahej		3
aprahejte		6
aprahl		3
aprahli		3
aprahne		3
aprahni		3
aprahnu		21
apravo		3
apravte		3
apred		9
apreli		3
apreme-li		3
aprimi		3
aprisaham		18
aprisahli		3
aprosto		36
aproti		3
aprsnik		6
apsal		24
apsali		3
apuach		9
apuachu		3
apud		3
ar-cheresu		3
ar-esera		3
ara		78
arabas		9
arabase		24
arabske		3
arabsti		3
aradoval		3
aradovali		3
aradsky		9
araf		3
araj		33
araje		6
araji		9
arajiny		3
arak		21
araka		6
arakem		9
arakovi		3
araku		3
arala		3
aralipomenon		195
aramejska		3
aramejske		9
aramejskeho		42
aramejskemu		30
aramejsky		54
aramejskych		9
aramejskym		12
aramskeho		6
aramskych		33
aran		9
arana		9
aranatha		3
aranem		3
aranova		3
aranske		15
aranskou		3
aranu		12
arao		114
araona		3
araone		3
araonova		6
araonovi		3
araonovo		6
araonovu		3
araonovym		3
araonuv		3
arara		3
ararskeho		6
ararsky		6
aravany		6
arazili		6
arazim		3
arbe		3
arce		3
archa		6
archandel		3
archandela		3
archivech		3
archivu		3
archovi		3
archu		6
archumsky		3
archy		51
arcisova		3
ard		3
arda		3
ardach		6
ardi		3
ardska		3
arduk		3
are		24
areachova		6
areachovi		3
areachovu		6
areachovym		3
areachuv		24
areale		3
areb		6
arebu		3
ared		3
areia		27
areios		6
areiovi		9
areiovy		6
areirovy		3
arek		66
arelijska		3
arem		3
areos		3
areosovych		12
areosuv		3
arepty		12
ares		6
aresa		3
arese		6
areser		6
aresi		15
aresu		3
aretanem		3
aretanu		6
argobska		3
argonem		3
ari		6
aria		30
ariach		3
arib		6
ariba		3
aridil		24
aridu		6
arie		96
arielem		3
arii		39
ariin		6
arikal		6
arikali		6
arikat		6
arina		6
arivy		3
arizeni		6
arizeove		33
arizeus		6
arjaves		9
arjavese		6
arjavesi		3
arjavesove		3
arjavesovi		3
arjezus		3
arka		9
arkasovi		3
arkemis		3
arkemise		6
arkonovi		6
arkonu		3
arkoru		3
arkosovi		6
arlivy		3
armagedon		3
armastu		3
armel		36
armelem		3
armelske		3
armelskem		9
armelskou		3
armelsky		6
armelu		30
armena		3
armi		12
armiho		12
armonu		3
armouti-li		3
armoutilo		3
armut		6
armutek		3
armutkem		3
armutu		3
arna		3
arnabas		54
arnabase		12
arnabasem		12
arnabasovi		15
arnabasuv		3
arnakuv		3
arne		6
arnonskych		3
aroacha		3
arobeam		99
arobeama		87
arobeame		3
arobeamem		15
arobeamova		24
arobeamove		9
arobeamovi		30
arobeamovu		6
arobeamovy		6
arobeamovych		9
arobeamuv		24
arodejnici		3
arodi		3
arodilo		6
arodska		3
arody		21
aroe		3
arok		3
aron		6
aronsky		3
aronu		9
arorsky		3
arotu		3
arou		3
aroval		6
aroven		9
arozeni		3
arozni		15
arpa		3
arpar		3
arputilci		3
arsabas		6
arsandatu		3
arse		12
arsekim		3
arsena		6
arsis		15
arsise		27
arsu		15
arta		30
artaka		3
artan		3
arte		6
arthove		3
artimaios		3
arto		6
artolomej		6
artolomeje		6
artu		3
aru		24
aruachuv		3
aruchen		3
arujte		15
aruk		33
aruka		15
arukovi		27
aruku		3
arumova		3
ary		12
arzilaj		12
arzilaje		24
as-damimu		3
as-li		21
asa		6
asaci		6
asad		3
asada		9
asadil		9
asadili		6
asadim		6
asadis		3
asadte		6
asahl		6
asaia		3
asaj		3
asak		6
asakovi		3
asal		3
asan		30
asanem		6
asansky		3
asanu		72
asazujes		3
asbelska		3
asbirali		3
asbirejte		6
aschur		18
aschura		9
aschure		3
aschurovych		9
aschuruv		3
asdodske		3
asdodskeho		3
asdodsky		3
asdodsti		3
ase		150
aseacha		3
aseachovi		6
aseachuv		3
asebet		3
asedl		3
asedli		6
asednete		3
asedni		3
aseho		3
asej		3
asejase		3
asejasova		3
asejte		3
asel		30
aseli		6
asemat		3
asematu		9
asematy		9
asemu		6
asenovych		3
asenuova		3
asep		3
aseram		3
aserskeho		3
aseva		3
asfalt		3
asfaltem		3
asfaltovych		3
ashromazdi		3
ashromazdil		3
ashromazdili		3
asi		174
asich		3
asifji		6
asili		12
asilim		3
asilne		3
asilnik		3
asim		15
asimi		3
asir		3
aska		18
askalonskych		3
askave		3
asku		6
askytne-li		3
asl		6
asledovala		3
asleduj		12
asleduji		3
asledujici		3
aslelponi		3
asli		30
aslibeni		3
aslitovi		3
aslo		3
aslouchej		3
aslouchejte		12
asluchany		6
aslutovi		3
asmala		3
asmu		3
asne		6
asnete		3
asni		3
asnive		3
asnoubim		3
asnoubis		3
aso		18
asobeam		9
ason		9
asona		3
asonuv		3
asou		3
aspon		63
asreky		6
asrielska		3
assa		3
asse		12
ast		18
astal		15
astala		6
astalo		9
astan		3
astance		3
astanci		3
astane		6
astartam		3
astarty		6
astavajiciho		3
astavej		3
astavel		3
astavi		3
astavil		3
astavili		3
astavte		3
astavuji		3
asti		30
astihl		6
asto		3
astokrat		3
astoretam		3
astoupil		6
astoupili		9
astrazili		3
astre		3
astrel		3
astres		3
astup		24
astupte		6
astupum		3
astupy		18
astvu		3
astydeli		6
astyr		3
astyri		6
asub		6
asuba		3
asubi-lechem		3
asvet		3
asypal		3
asyrske		15
asyrskeho		81
asyrskem		12
asyrskemu		39
asyrskou		6
asyrsky		87
asyrskych		12
asyrskym		21
asyrsti		15
asytil		3
asytili		3
asytite		3
at-cheferu		6
at-rimon		12
at-seba		18
at-sebe		9
at-sebu		6
at-suy		3
atahl		3
atahni		3
atak		6
ataka		3
atakovi		3
atam		9
atan		84
atana		48
atanael		12
atanaela		6
atane		3
atanem		3
atanjas		33
atanjase		9
atanjasova		6
atanova		9
atanovi		21
atanuv		12
atany		6
atary		3
atat		3
atata		3
atathias		6
ate		18
ate-li		12
ateho		12
ateje		6
atem		3
atemnim		3
atenaj		18
atenaji		3
atezujete		3
atham		3
athat		6
atim		12
atimco		48
atir		9
atiru		3
atitjas		21
atitjase		3
atka		12
atko		3
atku		3
atky		3
atleskal		3
atmos		3
atnacteho		12
atniel		3
ato		330
atous		93
atouse		6
atrabimske		3
atral		3
atrali		3
atrapove		3
atratis		3
atredy		6
atri		21
atril		3
atrila		3
atrilo		9
atris		3
atro		3
atrobia		3
atros		3
atrosu		12
atroubi		3
atroubi-li		3
atroubil		21
atroubili		6
atroubite		3
atrubte		3
atrusany		6
atske		3
atskeho		18
atskemu		3
atsky		3
attan		3
attana		3
attath		3
atu		84
atuovych		9
atusalem		3
atvrdil		6
aty		18
auc		9
auda		3
aul		642
aula		144
aule		24
aulem		75
aulova		84
aulove		9
aulovi		189
aulovo		6
aulovou		3
aulovu		24
aulovy		24
aulovych		33
aulovym		15
aulovymi		3
auluv		39
autoritou		3
autoritu		3
ava		6
ava-li		3
avaje		3
aval		9
avali		9
avam		18
avame		3
avame-li		3
avan		12
avancu		3
avane		3
avanovi		6
avanu		3
avas		6
avas-li		3
avate-li		3
avaz		6
avazal		15
avazali		3
avazte		3
avazuji		6
ave		3
avecer		12
aved		3
avedla		3
avedli		6
avedu		6
avej		9
avejte		21
aveky		9
avel		384
aver		3
aves		3
avesis		6
avic		15
avid		1491
avida		426
avide		21
avidem		72
avidova		177
avidovcu		3
avidove		87
avidovi		618
avidovo		15
avidovoe		3
avidovu		42
avidovy		30
avidovych		51
avidovym		30
avidovymi		30
aviduv		297
avijska		3
avinilo		3
avirate		3
avisova		3
avistivec		3
avka		3
avla		120
avle		6
avlekl		9
avlekli		3
avlem		24
avlove		3
avlovi		57
avlovo		6
avlovou		9
avlovy		6
avlovym		3
avluv		6
avno		6
avolaji		3
avolal		63
avolali		15
avolam		3
avolame		3
avolej		15
avolejte		15
avonela		3
avory		3
avrana		3
avrani		6
avrat		33
avrati		6
avratili		6
avratim		3
avratte		15
avrazdil		9
avrazdili		3
avreli		3
avrhl		3
avrhli		3
avrhnu		3
avrsi		3
avrsili		3
avrste		3
avsa		3
avsak		219
avstevujes		3
avstivil		3
avstivim		3
avstivis		3
avstivme		3
avy		3
avzajem		3
aza		15
azal		9
azali		9
azamovi		6
azar		27
azara		18
azare		3
azaret		9
azareta		27
azaretskeho		24
azaretsky		24
azaretskym		6
azarovi		3
azatel		54
azatele		3
azda		66
azde		45
azdeho		45
azdemu		33
azdil		3
azdodenne		3
azdou		9
azdy		465
azdym		3
aze		18
azehnavate		3
azele		3
azelenej		3
azem		3
azeme		3
azen		18
azenu		3
azeza		6
azi		6
azir		3
azitri		33
azivu		3
aziz		3
azmavetskych		3
aznac		6
azni		9
azpivam		3
azpivejte		6
azske		3
azte		3
azu		15
azval		6
azvou		15
azy		27
azyk		6
azyvaji		6
azyvali		3
azyvate		3
azyvejte		3
baalu		15
baalum		30
baaly		15
baba		9
babam		6
babicka		3
baby		15
babylonska		15
babylonske		33
babylonskeho		162
babylonskem		9
babylonskemu		84
babylonskou		6
babylonsky		141
babylonskych		18
babylonskym		6
babylonsti		6
badal		6
baddon		3
badjas		48
badjase		6
badjasovi		6
badjasuv		3
bagtovi		3
bahna		6
bahne		6
bahnic		3
bahnisti		3
bahnu		3
baje		3
bajemi		6
baji		3
bajich		3
bajim		3
bakuk		12
bakuka		3
bal		93
bala		12
balamutte		3
baldachyn		3
baleny		3
bali		102
